movie_id,genre_id
1443,18
1443,10749
1452,12
1452,28
1452,878
1487,14
1487,28
1491,14
1491,18
1491,53
1491,10749
1493,28
1493,35
1493,80
1495,12
1495,18
1495,28
1495,36
1495,10752
1498,12
1498,28
1498,35
1498,878
1498,10751
1535,28
1535,53
1535,80
1538,18
1538,53
1538,80
1541,12
1541,18
1541,80
1542,35
1547,18
1547,27
1547,35
1547,53
1547,10749
1562,27
1562,53
1562,878
1571,28
1571,53
1572,28
1572,53
1573,28
1573,53
1574,18
1574,35
1574,80
1576,27
1576,28
1576,878
1577,27
1577,28
1577,878
1578,18
1578,36
1579,18
1579,28
1579,36
1581,35
1581,10749
1584,35
1584,10402
1584,10751
1585,14
1585,18
1585,10751
1586,53
1586,9648
1587,18
1587,10749
1592,18
1592,53
1592,80
1592,9648
1593,14
1593,35
1593,10751
1597,35
1597,10749
1598,18
1598,53
1598,80
1607,18
1607,80
1620,18
1620,28
1620,53
1621,35
1624,14
1624,35
1633,18
1633,35
1635,28
1635,53
1635,878
1636,14
1636,35
1636,10749
1637,28
1637,53
1640,18
1643,18
1643,10749
1645,18
1645,53
1645,80
1654,12
1654,28
1654,10752
1656,12
1656,28
1656,37
1669,28
1669,53
1677,18
1677,10402
1678,27
1678,53
1678,878
1690,27
1691,27
1700,18
1700,53
1701,28
1701,53
1701,80
1710,53
1710,80
1710,9648
1715,18
1724,12
1724,28
1724,878
1726,12
1726,28
1726,878
1729,12
1729,14
1729,28
1730,14
1730,18
1730,27
1730,53
1730,9648
1734,12
1734,14
1734,28
1735,12
1735,14
1735,28
1738,28
1738,53
1738,878
1771,12
1771,28
1771,878
1788,18
1788,10749
1791,18
1791,10749
1813,18
1813,27
1813,9648
1817,53
1817,80
1824,35
1824,10749
1825,18
1825,28
1830,18
1830,53
1830,80
1832,12
1832,14
1832,35
1858,12
1858,28
1858,878
1865,12
1865,14
1865,28
1878,12
1878,18
1878,35
1885,18
1885,28
1885,10751
1887,18
1887,36
1891,12
1891,28
1891,878
1892,12
1892,28
1892,878
1893,12
1893,28
1893,878
1894,12
1894,28
1894,878
1895,12
1895,28
1895,878
1900,18
1900,53
1900,80
1903,878
1903,9648
1903,10749
1904,18
1904,36
1904,10749
1907,12
1907,18
1907,53
1907,10749
1911,12
1911,28
1911,36
1923,18
1923,27
1923,9648
1924,12
1924,28
1924,878
1927,12
1927,28
1927,878
1930,12
1930,28
1930,878
1933,27
1933,53
1933,9648
1946,28
1946,53
1946,878
1948,28
1948,53
1948,80
1949,53
1949,80
1949,9648
1954,53
1954,878
1955,18
1955,36
1965,18
1965,53
1965,80
1966,12
1966,18
1966,28
1966,36
1966,10749
1966,10752
1970,27
1970,53
1970,9648
1979,12
1979,28
1979,878
1991,28
1991,53
1992,27
1992,28
1992,53
1995,12
1995,14
1995,28
2005,35
2005,10402
2019,28
2019,53
2019,80
2022,35
2022,10749
2024,18
2024,28
2024,36
2024,10752
2028,18
2028,35
2028,10749
2034,18
2034,28
2034,80
2039,18
2039,35
2039,10749
2043,28
2043,53
2043,80
2043,9648
2046,18
2046,27
2046,53
2046,9648
2048,28
2048,878
2057,18
2057,36
2057,53
2057,9648
2057,10749
2059,12
2059,28
2059,53
2059,9648
2062,14
2062,16
2062,35
2062,10751
2064,35
2064,10749
2082,27
2085,28
2085,53
2085,80
2100,18
2100,28
2100,53
2105,35
2105,10749
2108,18
2108,35
2109,28
2109,35
2109,80
2112,18
2112,28
2112,53
2112,80
2118,53
2118,80
2118,9648
2119,12
2119,18
2119,28
2123,35
2124,53
2124,9648
2124,10749
2133,12
2133,18
2133,28
2135,12
2135,28
2135,878
2137,12
2137,14
2137,18
2137,28
2157,12
2157,878
2163,18
2163,28
2163,53
2163,80
2163,9648
2164,12
2164,28
2164,878
2251,18
2251,53
2251,10749
2252,53
2252,80
2252,9648
2253,18
2253,53
2253,10752
2259,18
2259,10749
2268,12
2268,14
2270,12
2270,14
2270,10749
2270,10751
2277,18
2277,878
2277,10749
2280,14
2280,18
2280,35
2288,18
2288,10749
2291,18
2291,27
2291,9648
2300,14
2300,16
2300,35
2300,878
2300,10751
2310,12
2310,16
2310,28
